learner_id,age_band,province_area,device_access,internet_access,digital_confidence,programming_confidence,ai_familiarity,employment_status,support_need,attendance_risk,notes
L001,18-24,Limpopo,Laptop,Unstable,2,3,5,Unemployed,Data,Low,Needs data support for online learning.
L002,18-24,Free State,Shared laptop,Reliable,2,5,1,Under-employed,Data,Medium,Needs data support for online learning.
L003,25-29,Eastern Cape,Shared laptop,Unstable,2,5,2,Unemployed,Mentoring,High,Would benefit from mentoring and career guidance.
L004,18-24,KZN,Laptop,Limited,3,3,3,Unemployed,Data,Low,Needs data support for online learning.
L005,30-35,Eastern Cape,Shared laptop,Unstable,5,3,4,Unemployed,Academic support,Medium,Needs extra help with programming fundamentals.
L006,25-29,Free State,Laptop,Limited,2,3,2,Unemployed,Data,Low,Needs data support for online learning.
L007,25-29,Western Cape,Laptop,Unstable,4,2,4,Employed part-time,Academic support,Low,Needs extra help with programming fundamentals.
L008,30-35,Eastern Cape,Shared laptop,Limited,2,3,2,Under-employed,Data,High,Needs data support for online learning.
L009,30-35,Free State,Phone only,Limited,3,1,1,Unemployed,Transport,Medium,May need transport support to attend sessions.
L010,25-29,Gauteng,Shared laptop,Unstable,4,1,4,Under-employed,Academic support,High,Needs extra help with programming fundamentals.
L011,18-24,Gauteng,Laptop,Reliable,5,4,4,Unemployed,Transport,High,May need transport support to attend sessions.
L012,25-29,Free State,Phone only,Limited,2,3,2,Employed part-time,Transport,High,May need transport support to attend sessions.
L013,30-35,Gauteng,Laptop,Reliable,3,1,4,Unemployed,Mentoring,Low,Would benefit from mentoring and career guidance.
L014,30-35,Free State,Shared laptop,Unstable,3,5,5,Under-employed,Data,Medium,Needs data support for online learning.
L015,25-29,Eastern Cape,Phone only,Limited,3,2,2,Unemployed,Transport,Medium,May need transport support to attend sessions.
L016,30-35,Western Cape,Laptop,Reliable,3,1,3,Unemployed,Academic support,Low,Needs extra help with programming fundamentals.
L017,25-29,Gauteng,Shared laptop,Limited,1,1,3,Under-employed,Academic support,Medium,Needs extra help with programming fundamentals.
L018,25-29,KZN,Shared laptop,Unstable,5,4,4,Unemployed,Mentoring,Low,Would benefit from mentoring and career guidance.
L019,18-24,Limpopo,Laptop,Reliable,3,5,1,Unemployed,Data,High,Needs data support for online learning.
L020,25-29,Limpopo,Phone only,Limited,3,1,3,Unemployed,Academic support,Low,Needs extra help with programming fundamentals.
L021,30-35,Northern Cape,Phone only,Unstable,2,3,1,Under-employed,Data,High,Needs data support for online learning.
L022,25-29,KZN,Laptop,Reliable,3,2,5,Under-employed,Academic support,Medium,Needs extra help with programming fundamentals.
L023,30-35,KZN,Phone only,Unstable,3,2,2,Employed part-time,Mentoring,Low,Would benefit from mentoring and career guidance.
L024,30-35,Northern Cape,Laptop,Reliable,3,4,5,Unemployed,Transport,Low,May need transport support to attend sessions.
L025,25-29,Gauteng,Laptop,Unstable,2,4,2,Unemployed,Mentoring,High,Would benefit from mentoring and career guidance.
L026,18-24,Free State,Laptop,Limited,2,2,3,Unemployed,Academic support,High,Needs extra help with programming fundamentals.
L027,25-29,Free State,Laptop,Unstable,3,5,5,Employed part-time,Mentoring,Medium,Would benefit from mentoring and career guidance.
L028,25-29,Northern Cape,Shared laptop,Reliable,2,5,2,Unemployed,Data,High,Needs data support for online learning.
L029,25-29,Northern Cape,Laptop,Reliable,4,3,5,Unemployed,Mentoring,Medium,Would benefit from mentoring and career guidance.
L030,30-35,Gauteng,Laptop,Unstable,5,5,2,Unemployed,Mentoring,Medium,Would benefit from mentoring and career guidance.
L031,25-29,Limpopo,Shared laptop,Reliable,3,2,2,Under-employed,Data,Low,Needs data support for online learning.
L032,18-24,Gauteng,Laptop,Unstable,2,5,1,Unemployed,Academic support,Medium,Needs extra help with programming fundamentals.
L033,30-35,Limpopo,Shared laptop,Unstable,2,4,3,Under-employed,Academic support,High,Needs extra help with programming fundamentals.
L034,30-35,Gauteng,Laptop,Unstable,3,5,3,Under-employed,Data,High,Needs data support for online learning.
